z,U_0,U_1,U_2
0,0,0,0
0.000336683,0.00651476,0,2.79837e-09
0.000673367,0.0119288,0,6.8774e-09
0.00101005,0.0161965,0,1.15333e-08
0.00134673,0.0193103,0,1.53744e-08
0.00168342,0.0213731,0,1.78368e-08
0.0020201,0.0225999,0,1.90868e-08
0.00235678,0.0232576,0,1.9565e-08
0.00269347,0.0235844,0,1.96615e-08
0.00303015,0.0237437,0,1.96064e-08
0.00336683,0.0238267,0,1.95014e-08
0.00370352,0.0238785,0,1.93759e-08
0.0040402,0.0239196,0,1.9236e-08
0.00437688,0.0239575,0,1.90922e-08
0.00471357,0.0239937,0,1.89513e-08
0.00505025,0.0240284,0,1.881e-08
0.00538693,0.0240616,0,1.86654e-08
0.00572362,0.0240934,0,1.85181e-08
0.0060603,0.0241236,0,1.83693e-08
0.00639698,0.0241524,0,1.822e-08
0.00673367,0.0241798,0,1.80708e-08
0.00707035,0.0242058,0,1.7922e-08
0.00740704,0.0242305,0,1.77739e-08
0.00774372,0.024254,0,1.76267e-08
0.0080804,0.0242761,0,1.74805e-08
0.00841709,0.024297,0,1.73357e-08
0.00875377,0.0243168,0,1.71922e-08
0.00909045,0.0243354,0,1.70503e-08
0.00942714,0.024353,0,1.69101e-08
0.00976382,0.0243695,0,1.67716e-08
0.0101005,0.024385,0,1.66349e-08
0.0104372,0.0243995,0,1.65002e-08
0.0107739,0.0244131,0,1.63675e-08
0.0111106,0.0244258,0,1.62369e-08
0.0114472,0.0244377,0,1.61083e-08
0.0117839,0.0244487,0,1.59819e-08
0.0121206,0.024459,0,1.58577e-08
0.0124573,0.0244686,0,1.57357e-08
0.012794,0.0244775,0,1.56159e-08
0.0131307,0.0244858,0,1.54984e-08
0.0134673,0.0244934,0,1.53832e-08
0.013804,0.0245005,0,1.52702e-08
0.0141407,0.024507,0,1.51595e-08
0.0144774,0.0245131,0,1.50511e-08
0.0148141,0.0245186,0,1.49449e-08
0.0151508,0.0245237,0,1.4841e-08
0.0154874,0.0245284,0,1.47394e-08
0.0158241,0.0245327,0,1.464e-08
0.0161608,0.0245367,0,1.45429e-08
0.0164975,0.0245403,0,1.4448e-08
0.0168342,0.0245436,0,1.43553e-08
0.0171709,0.0245466,0,1.42648e-08
0.0175075,0.0245493,0,1.41765e-08
0.0178442,0.0245517,0,1.40904e-08
0.0181809,0.024554,0,1.40063e-08
0.0185176,0.024556,0,1.39244e-08
0.0188543,0.0245579,0,1.38446e-08
0.019191,0.0245595,0,1.37669e-08
0.0195276,0.024561,0,1.36913e-08
0.0198643,0.0245623,0,1.36176e-08
0.020201,0.0245635,0,1.3546e-08
0.0205377,0.0245647,0,1.34763e-08
