z,U_0,U_1,U_2
0,0,0,0
0.000336683,0.00460206,0,-3.29171e-06
0.000673367,0.00894608,0,-6.4694e-06
0.00101005,0.0129322,0,-6.99483e-06
0.00134673,0.0164657,0,-4.98685e-06
0.00168342,0.0194307,0,-2.33216e-06
0.0020201,0.0217509,0,-2.25051e-06
0.00235678,0.0234652,0,-6.42606e-06
0.00269347,0.0246732,0,-1.33338e-05
0.00303015,0.025486,0,-2.1326e-05
0.00336683,0.0260099,0,-2.93213e-05
0.00370352,0.0263366,0,-3.68728e-05
0.0040402,0.0265379,0,-4.38563e-05
0.00437688,0.0266638,0,-5.03143e-05
0.00471357,0.0267464,0,-5.63304e-05
0.00505025,0.0268052,0,-6.19976e-05
0.00538693,0.0268519,0,-6.74703e-05
0.00572362,0.0268938,0,-7.29214e-05
0.0060603,0.0269344,0,-7.83834e-05
0.00639698,0.0269744,0,-8.37604e-05
0.00673367,0.0270139,0,-8.89971e-05
0.00707035,0.027053,0,-9.40999e-05
0.00740704,0.0270916,0,-9.907e-05
0.00774372,0.0271298,0,-0.00010391
0.0080804,0.0271675,0,-0.000108628
0.00841709,0.0272046,0,-0.000113233
0.00875377,0.0272413,0,-0.000117731
0.00909045,0.0272774,0,-0.000122137
0.00942714,0.027313,0,-0.000126468
0.00976382,0.0273481,0,-0.000130743
0.0101005,0.0273826,0,-0.000134986
0.0104372,0.0274165,0,-0.000139218
0.0107739,0.0274497,0,-0.000143459
0.0111106,0.0274824,0,-0.000147721
0.0114472,0.0275143,0,-0.000152014
0.0117839,0.0275457,0,-0.000156351
0.0121206,0.0275764,0,-0.000160744
0.0124573,0.0276065,0,-0.000165206
0.012794,0.0276359,0,-0.000169754
0.0131307,0.0276648,0,-0.000174401
0.0134673,0.027693,0,-0.000179163
0.013804,0.0277206,0,-0.000184053
0.0141407,0.0277476,0,-0.000189081
0.0144774,0.0277741,0,-0.000194253
0.0148141,0.0277999,0,-0.000199572
0.0151508,0.0278251,0,-0.000205032
0.0154874,0.0278498,0,-0.000210618
0.0158241,0.0278739,0,-0.00021631
0.0161608,0.0278974,0,-0.000222076
0.0164975,0.0279204,0,-0.000227881
0.0168342,0.0279428,0,-0.000233678
0.0171709,0.0279646,0,-0.00023942
0.0175075,0.0279859,0,-0.000245056
0.0178442,0.0280065,0,-0.000250537
0.0181809,0.0280267,0,-0.000255819
0.0185176,0.0280463,0,-0.000260866
0.0188543,0.0280653,0,-0.000265659
0.019191,0.028084,0,-0.000270184
0.0195276,0.0281021,0,-0.000274437
0.0198643,0.0281196,0,-0.000278428
0.020201,0.0281365,0,-0.000282176
0.0205377,0.0281528,0,-0.000285713
0.0208744,0.0281686,0,-0.000289088
0.0212111,0.0281839,0,-0.000292351
0.0215477,0.0281988,0,-0.000295556
0.0218844,0.028213,0,-0.000298756
0.0222211,0.0282268,0,-0.000302004
0.0225578,0.0282399,0,-0.000305353
0.0228945,0.0282526,0,-0.000308847
0.0232312,0.0282647,0,-0.000312515
0.0235678,0.0282762,0,-0.000316384
0.0239045,0.0282871,0,-0.000320469
0.0242412,0.0282976,0,-0.000324776
0.0245779,0.0283074,0,-0.000329299
0.0249146,0.0283167,0,-0.000334026
0.0252513,0.0283254,0,-0.000338939
0.0255879,0.0283335,0,-0.000344012
0.0259246,0.0283409,0,-0.00034922
0.0262613,0.0283478,0,-0.000354535
0.026598,0.0283542,0,-0.00035993
0.0269347,0.0283599,0,-0.000365378
0.0272714,0.028365,0,-0.00037085
0.027608,0.0283695,0,-0.000376318
0.0279447,0.0283734,0,-0.000381751
0.0282814,0.0283767,0,-0.000387113
0.0286181,0.0283795,0,-0.000392359
0.0289548,0.0283817,0,-0.00039744
0.0292915,0.0283834,0,-0.000402327
0.0296281,0.0283845,0,-0.000407038
0.0299648,0.028385,0,-0.00041147
0.0303015,0.0283851,0,-0.000415235
0.0306382,0.0283848,0,-0.000418058
0.0309749,0.0282201,0,-0.00042242
0.0313116,0.027695,0,-0.000429114
0.0316482,0.0269725,0,-0.000435836
0.0319849,0.0262407,0,-0.000447621
0.0323216,0.0255007,0,-0.000469367
0.0326583,0.0247564,0,-0.000499864
0.032995,0.0240119,0,-0.000537756
0.0333317,0.0232712,0,-0.000581735
0.0336683,0.0225376,0,-0.000630376
0.034005,0.0218136,0,-0.000682206
0.0343417,0.0211008,0,-0.000735811
0.0346784,0.0204001,0,-0.000789916
0.0350151,0.0197122,0,-0.000843401
0.0353518,0.0190368,0,-0.000895313
0.0356884,0.0183737,0,-0.000944852
0.0360251,0.0177223,0,-0.000991357
0.0363618,0.017082,0,-0.00103428
0.0366985,0.016452,0,-0.00107316
0.0370352,0.0158313,0,-0.00110759
0.0373719,0.0152192,0,-0.00113719
0.0377085,0.0146147,0,-0.00116157
0.0380452,0.0140171,0,-0.00118031
0.0383819,0.0134256,0,-0.00119294
0.0387186,0.0128399,0,-0.00119891
0.0390553,0.0122595,0,-0.00119762
0.039392,0.0116843,0,-0.00118842
0.0397286,0.0111148,0,-0.00117069
0.0400653,0.0105514,0,-0.00114386
0.040402,0.00999522,0,-0.00110747
0.0407387,0.00944778,0,-0.00106123
0.0410754,0.00891108,0,-0.0010051
0.0414121,0.00838731,0,-0.00093945
0.0417487,0.00787934,0,-0.000865239
0.0420854,0.00739127,0,-0.000784391
0.0424221,0.00692696,0,-0.000700126
0.0427588,0.00648579,0,-0.000616897
0.0430955,0.00606092,0,-0.00053935
0.0434322,0.00564375,0,-0.000469104
0.0437688,0.00522919,0,-0.000403922
0.0441055,0.00481796,0,-0.000340287
0.0444422,0.00441581,0,-0.000274278
0.0447789,0.0040303,0,-0.000202657
0.0451156,0.00366917,0,-0.000123258
0.0454523,0.00334352,0,-3.39114e-05
0.0457889,0.00307203,0,6.11854e-05
0.0461256,0.00287077,0,0.000146184
0.0464623,0.00272055,0,0.000208937
0.046799,0.00256193,0,0.000243701
0.0471357,0.00240284,0,0.000246202
0.0474724,0.0023026,0,0.000225333
0.047809,0.00222966,0,0.000190047
0.0481457,0.00206913,0,0.000136684
0.0484824,0.00169585,0,6.61185e-05
0.0488191,0.00112541,0,9.24546e-06
0.0491558,0.000467359,0,1.97268e-06
0.0494925,-0.000234994,0,7.03991e-05
0.0498291,-0.000924817,0,0.000243629
0.0501658,-0.00125875,0,0.00041769
0.0505025,-0.00105583,0,0.000507727
0.0508392,-0.000544406,0,0.000667731
0.0511759,-0.000191325,0,0.000906624
0.0515126,-0.000181846,0,0.00112956
0.0518492,-0.000150354,0,0.00136896
0.0521859,7.62866e-05,0,0.00163063
0.0525226,0.000449946,0,0.00188892
0.0528593,0.000895472,0,0.00215179
0.053196,0.00121975,0,0.00249466
0.0535327,0.00133607,0,0.00292582
0.0538693,0.00143923,0,0.00339015
0.054206,0.00170365,0,0.00385205
0.0545427,0.0021514,0,0.00428647
0.0548794,0.00268348,0,0.00469759
0.0552161,0.00318702,0,0.00509919
0.0555528,0.00362869,0,0.00549104
0.0558894,0.0040226,0,0.00587263
0.0562261,0.00438079,0,0.00625393
0.0565628,0.00470813,0,0.00663603
0.0568995,0.00501051,0,0.00700719
0.0572362,0.00529112,0,0.00735852
0.0575729,0.00555051,0,0.0076896
0.0579095,0.00579226,0,0.00800277
0.0582462,0.00602165,0,0.00830144
0.0585829,0.00624984,0,0.00857918
0.0589196,0.00648292,0,0.00883365
0.0592563,0.00670503,0,0.00907749
0.059593,0.00690567,0,0.00931165
0.0599296,0.0070924,0,0.00953116
0.0602663,0.00727039,0,0.00973815
0.060603,0.00743873,0,0.00993346
0.0609397,0.0075932,0,0.0101179
0.0612764,0.00773104,0,0.0102936
0.0616131,0.00785532,0,0.0104608
0.0619497,0.00797103,0,0.0106192
0.0622864,0.00808091,0,0.0107693
0.0626231,0.00818592,0,0.0109116
0.0629598,0.00828623,0,0.0110462
0.0632965,0.00838192,0,0.011173
0.0636332,0.00847313,0,0.0112921
0.0639698,0.00855989,0,0.0114032
0.0643065,0.0086421,0,0.0115063
0.0646432,0.00871989,0,0.0116014
0.0649799,0.00879371,0,0.0116889
0.0653166,0.00886425,0,0.0117691
0.0656533,0.00893178,0,0.0118425
0.0659899,0.00899532,0,0.0119102
0.0663266,0.00905407,0,0.0119733
0.0666633,0.00910865,0,0.0120317
0.067,0.00951598,0,0.0123722
