z,U_0,U_1,U_2
0,0,0,0
0.000336683,0.00651086,0,2.78955e-09
0.000673367,0.0119211,0,6.85494e-09
0.00101005,0.0161852,0,1.14946e-08
0.00134673,0.019296,0,1.53217e-08
0.00168342,0.0213565,0,1.77747e-08
0.0020201,0.0225817,0,1.90197e-08
0.00235678,0.0232385,0,1.94961e-08
0.00269347,0.0235649,0,1.95922e-08
0.00303015,0.0237239,0,1.95374e-08
0.00336683,0.0238068,0,1.94329e-08
0.00370352,0.0238586,0,1.93079e-08
0.0040402,0.0238996,0,1.91685e-08
0.00437688,0.0239375,0,1.90253e-08
0.00471357,0.0239737,0,1.88849e-08
0.00505025,0.0240085,0,1.87442e-08
0.00538693,0.0240417,0,1.86002e-08
0.00572362,0.0240734,0,1.84535e-08
0.0060603,0.0241037,0,1.83053e-08
0.00639698,0.0241325,0,1.81566e-08
0.00673367,0.0241599,0,1.80079e-08
0.00707035,0.0241859,0,1.78597e-08
0.00740704,0.0242105,0,1.77122e-08
0.00774372,0.024234,0,1.75656e-08
0.0080804,0.0242561,0,1.742e-08
0.00841709,0.0242771,0,1.72758e-08
0.00875377,0.0242968,0,1.71329e-08
0.00909045,0.0243154,0,1.69916e-08
0.00942714,0.024333,0,1.68518e-08
0.00976382,0.0243495,0,1.67138e-08
0.0101005,0.024365,0,1.65778e-08
0.0104372,0.0243795,0,1.64436e-08
0.0107739,0.0243931,0,1.63113e-08
0.0111106,0.0244058,0,1.61812e-08
0.0114472,0.0244177,0,1.60532e-08
0.0117839,0.0244287,0,1.59273e-08
0.0121206,0.024439,0,1.58035e-08
0.0124573,0.0244486,0,1.5682e-08
0.012794,0.0244575,0,1.55627e-08
0.0131307,0.0244658,0,1.54456e-08
0.0134673,0.0244734,0,1.53308e-08
0.013804,0.0244805,0,1.52183e-08
0.0141407,0.024487,0,1.5108e-08
0.0144774,0.0244931,0,1.5e-08
0.0148141,0.0244986,0,1.48943e-08
0.0151508,0.0245037,0,1.47908e-08
0.0154874,0.0245084,0,1.46895e-08
0.0158241,0.0245127,0,1.45905e-08
0.0161608,0.0245167,0,1.44938e-08
0.0164975,0.0245203,0,1.43993e-08
0.0168342,0.0245236,0,1.43069e-08
0.0171709,0.0245266,0,1.42167e-08
0.0175075,0.0245293,0,1.41288e-08
0.0178442,0.0245317,0,1.40429e-08
0.0181809,0.024534,0,1.39593e-08
0.0185176,0.024536,0,1.38777e-08
0.0188543,0.0245379,0,1.37982e-08
0.019191,0.0245395,0,1.37208e-08
0.0195276,0.024541,0,1.36454e-08
0.0198643,0.0245423,0,1.3572e-08
0.020201,0.0245435,0,1.35007e-08
0.0205377,0.0245447,0,1.34313e-08
0.0208744,0.0245456,0,1.33638e-08
0.0212111,0.0245465,0,1.32983e-08
0.0215477,0.0245473,0,1.32347e-08
0.0218844,0.024548,0,1.31729e-08
0.0222211,0.0245486,0,1.31129e-08
0.0225578,0.0245491,0,1.30547e-08
0.0228945,0.0245496,0,1.29982e-08
0.0232312,0.02455,0,1.29435e-08
0.0235678,0.0245504,0,1.28905e-08
0.0239045,0.0245507,0,1.28391e-08
0.0242412,0.0245509,0,1.27892e-08
0.0245779,0.0245512,0,1.27409e-08
0.0249146,0.0245514,0,1.2694e-08
0.0252513,0.0245516,0,1.26486e-08
0.0255879,0.0245518,0,1.26045e-08
0.0259246,0.0245519,0,1.25618e-08
0.0262613,0.024552,0,1.25203e-08
0.026598,0.0245521,0,1.248e-08
0.0269347,0.0245521,0,1.24407e-08
0.0272714,0.0245522,0,1.24026e-08
0.027608,0.0245523,0,1.23653e-08
0.0279447,0.0245523,0,1.23289e-08
0.0282814,0.0245523,0,1.22933e-08
0.0286181,0.0245523,0,1.22584e-08
0.0289548,0.0245524,0,1.2224e-08
0.0292915,0.0245524,0,1.21901e-08
0.0296281,0.0245524,0,1.21566e-08
0.0299648,0.0245524,0,1.21233e-08
0.0303015,0.0245524,0,1.20902e-08
