z,U_0,U_1,U_2
0,-7.42404e-19,0,-3.96936e-22
0.00136735,0.00572554,0,-1.18525e-06
0.00273469,0.011166,0,-2.78451e-06
0.00410204,0.0162948,0,-4.32893e-06
0.00546939,0.0210814,0,-5.5178e-06
0.00683673,0.0255202,0,-6.53514e-06
0.00820408,0.0296103,0,-7.49226e-06
0.00957143,0.0333544,0,-8.64105e-06
0.0109388,0.0367525,0,-9.79965e-06
0.0123061,0.0398024,0,-1.08701e-05
0.0136735,0.0425034,0,-1.18566e-05
0.0150408,0.0448562,0,-1.27436e-05
0.0164082,0.0468616,0,-1.34467e-05
0.0177755,0.0485209,0,-1.39033e-05
0.0191429,0.0498347,0,-1.4075e-05
0.0205102,0.0508032,0,-1.39379e-05
0.0218776,0.0514337,0,-1.35794e-05
0.0232449,0.0517546,0,-1.32811e-05
0.0246122,0.0518424,0,-1.8744e-05
0.0259796,0.0509429,0,-2.76352e-05
0.0273469,0.0476463,0,-2.6044e-05
0.0287143,0.0430126,0,-4.15846e-05
0.0300816,0.0385419,0,-8.71666e-05
0.031449,0.0342967,0,-0.000147643
0.0328163,0.0303227,0,-0.000221221
0.0341837,0.0266496,0,-0.000305053
0.035551,0.0232927,0,-0.00039606
0.0369184,0.0202548,0,-0.000491399
0.0382857,0.0175295,0,-0.000588592
0.0396531,0.0151031,0,-0.000685548
0.0410204,0.0129569,0,-0.000780579
0.0423878,0.0110695,0,-0.000872376
0.0437551,0.00941805,0,-0.000959979
0.0451224,0.00797933,0,-0.00104273
0.0464898,0.0067307,0,-0.00112023
0.0478571,0.00565063,0,-0.00119228
0.0492245,0.00471908,0,-0.00125883
0.0505918,0.00391766,0,-0.00131998
0.0519592,0.00322976,0,-0.00137592
0.0533265,0.00264048,0,-0.00142688
0.0546939,0.0021366,0,-0.00147316
0.0560612,0.00170647,0,-0.00151507
0.0574286,0.00133987,0,-0.00155293
0.0587959,0.00102788,0,-0.00158707
0.0601633,0.000762768,0,-0.00161781
0.0615306,0.000537817,0,-0.00164545
0.062898,0.000347244,0,-0.00167025
0.0642653,0.000186072,0,-0.00169254
0.0656327,5.02825e-05,0,-0.00171276
0.067,-0.000192196,0,-0.0017537
